"","ID","DD_Trial","DD_Today","DD_Later","DD_Time","DD_Choice","DD_rt","DD_TrialStart","DD_TrialEnd"
"1","101",1,21.81,32.71,3,"Later",2.19,0.084,4.044
"2","101",2,8,8.4,1,"Now",1.599,6.786,10.161
"3","101",3,19.81,24.77,3,"Later",2.603,12.352,16.73
"4","101",4,15.86,23.79,2,"Later",1.96,18.803,22.53
"5","101",5,24.64,28.34,2,"Later",1.26,23.734,26.759
"6","101",6,16.98,21.23,6,"Later",3.084,28.046,32.892
"7","101",7,14.75,16.96,1,"Later",2.504,34.331,38.609
"8","101",8,19.41,29.11,6,"Later",1.33,41.585,44.676
"9","101",9,28.59,32.88,5,"Now",1.684,45.847,49.306
"10","101",10,24.7,37.05,5,"Later",0.729,50.41,52.899
"11","101",11,11.98,16.17,2,"Later",0.305,54.154,56.225
"12","101",12,18.84,19.78,4,"Now",0.44,58.467,60.672
"13","101",13,24.43,26.87,6,"Now",0.623,64.3,66.689
"14","101",14,10.76,12.38,6,"Now",0.4,68.211,70.399
"15","101",15,17.43,19.17,5,"Now",2.738,72.857,77.369
"16","101",16,14.73,16.94,4,"Later",0.748,80.279,82.801
"17","101",17,18.69,19.63,5,"Now",1.007,86.396,89.169
"18","101",18,22.65,30.58,6,"Later",1.672,90.307,93.766
"19","101",19,23.88,32.24,4,"Later",0.614,95.037,97.426
"20","101",20,15.87,23.8,4,"Later",0.526,99.35,101.638
"21","101",21,20.5,30.74,1,"Later",0.119,103.06,104.948
"22","101",22,20.33,25.42,5,"Later",1.49,107.657,110.915
"23","101",23,13,17.55,5,"Later",0.908,113.055,115.729
"24","101",24,17.86,18.76,2,"Now",1.115,117,119.89
"25","101",25,22.02,23.12,3,"Now",0.045,122.014,123.835
"26","101",26,12.93,13.57,6,"Now",0.568,125.875,128.214
"27","101",27,18.32,24.73,1,"Later",0.954,131.625,134.348
"28","101",28,22.1,24.31,2,"Later",1.308,136.806,139.881
"29","101",29,25,27.5,4,"Later",2.347,141.52,145.63
"30","101",30,17.67,23.86,3,"Later",0.102,147.637,149.508
"31","101",31,21.87,27.34,2,"Later",0.102,150.997,152.867
"32","101",32,29.18,32.1,3,"Now",0.193,155.978,157.932
"33","101",33,24.06,30.08,1,"Later",0.195,159.12,161.074
"34","101",34,24.22,26.64,1,"Later",0.632,163.499,165.905
"35","101",35,20.9,26.12,4,"Later",0.438,168.781,170.986
"36","101",36,19.68,22.63,3,"Now",1.564,174.831,178.156
"37","101",37,17.33,23.4,2,"Later",3.288,180.531,185.594
"38","101",38,23.84,27.41,1,"Later",3.064,188.387,193.215
"39","101",39,26.71,29.38,4,"Now",2.799,196.643,201.205
"40","101",40,27.37,28.74,1,"Later",0.994,203.496,206.253
"41","101",41,23.74,26.11,1,"Later",2.579,208.544,212.888
"42","101",42,16.02,16.82,2,"Later",0.521,214.01,216.298
"43","101",43,17.14,25.71,2,"Later",0.49,218.489,220.744
"44","101",44,14.16,16.28,2,"Later",2.172,222.935,226.878
"45","101",45,25.72,28.29,5,"Later",1.964,229.103,232.828
"46","101",46,14.36,17.94,4,"Later",1.395,235.12,238.278
"47","101",47,26.92,30.95,3,"Later",0.405,242.006,244.178
"48","101",48,14.87,18.59,2,"Later",0.335,246.068,248.172
"49","101",49,15.09,18.87,5,"Later",0.126,249.661,251.549
"50","101",50,22.48,23.6,3,"Later",0.283,253.455,255.509
"51","101",51,10.77,12.38,5,"Later",0.26,256.614,258.636
"52","101",52,12.65,15.82,3,"Later",1.103,259.924,262.797
"53","101",53,24.83,28.56,4,"Later",0.055,266.476,268.297
"54","101",54,22.92,30.94,5,"Later",0.115,269.367,271.255
"55","101",55,24,32.39,3,"Later",0.148,274.783,276.704
"56","101",56,18.4,23,6,"Later",1.696,278.443,281.902
"57","101",57,27.03,28.38,6,"Later",1.049,283.09,285.914
"58","101",58,20.77,28.04,6,"Later",1.804,287.519,291.095
"59","101",59,24.19,32.66,4,"Later",0.205,293.469,295.44
"60","101",60,19.2,21.12,6,"Later",0.253,298.918,300.94
"61","101",61,28.02,42.02,6,"Later",0.45,303.097,305.319
"62","101",62,20.85,21.89,4,"Later",2.253,309.198,313.225
"63","101",63,27.11,40.67,4,"Later",1.067,314.864,317.704
"64","101",64,18.7,28.04,1,"Later",0.84,319.794,322.401
"65","101",65,17.56,21.95,1,"Later",1.148,323.839,326.746
"66","101",66,16.78,19.3,6,"Later",0.233,328.77,330.775
