"","X","ID","DD_Trial","DD_Today","DD_Later","DD_Time","DD_Choice","DD_rt","DD_TrialStart","DD_TrialEnd"
"1",1,3,1,28.3,38.21,4,1,4.235,0.336,6.343
"2",2,3,3,21.73,23.91,5,0,1.951,16.837,20.558
"3",3,3,4,21.39,32.09,3,1,2.09,22.243,26.098
"4",4,3,5,25.06,26.31,5,0,2.053,27.382,31.203
"5",5,3,6,18.26,24.65,1,1,1.949,33.639,37.36
"6",6,3,7,30.02,34.52,5,1,3.306,39.362,44.435
"7",7,3,9,16.64,19.13,4,0,2.45,55.146,59.367
"8",8,3,10,23.31,29.14,5,1,3.361,60.452,65.574
"9",9,3,11,22.88,25.17,2,0,1.788,68.544,72.098
"10",10,3,12,11.52,12.1,6,0,0.754,73.667,76.186
"11",11,3,13,25.35,26.61,4,0,0.641,79.323,81.725
"12",12,3,14,15.85,16.64,1,0,1.779,83.177,86.731
"13",13,3,15,11.97,16.15,6,0,2.212,89.767,93.756
"14",14,3,16,27.36,30.09,6,0,1.129,95.323,98.226
"15",15,3,17,31.47,34.62,4,0,3.79,99.294,104.85
"16",16,3,18,25.37,31.71,2,1,3.01,106.786,111.558
"17",17,3,19,19.52,29.27,5,1,2.205,113.11,117.081
"18",18,3,20,26.73,30.74,3,0,2.172,119,122.937
"19",19,3,21,18.6,19.53,3,0,0.783,124.006,126.558
"20",20,3,22,13.16,16.45,6,0,1.57,128.977,132.314
"21",21,3,23,18.76,23.45,3,1,3.342,133.95,139.055
"22",22,3,24,16.67,18.34,3,0,2.784,140.54,145.096
"23",23,3,25,16.63,18.29,1,0,2.725,148.599,153.088
"24",24,3,26,19.03,28.55,6,1,3.017,154.923,159.712
"25",25,3,27,14.01,17.51,1,1,1.95,162.981,166.702
"26",26,3,28,24.11,32.55,3,1,1.115,170.457,173.343
"27",27,3,29,20.65,27.88,5,1,1.085,176.263,179.116
"28",28,3,30,28.51,42.77,1,1,1.069,180.167,183.004
"29",29,3,31,30.69,46.03,2,1,0.536,184.572,186.874
"30",30,3,32,25.74,29.6,1,1,2.278,189.094,193.149
"31",31,3,33,16.77,19.29,2,1,1.802,194.883,198.455
"32",32,3,34,24.83,28.56,6,0,1.79,200.006,203.559
"33",33,3,35,18.43,19.35,2,0,2.574,206.045,210.384
"34",34,3,36,17.32,25.99,4,1,0.853,212.286,214.905
"35",35,3,37,25.8,34.83,3,1,2.105,217.258,221.129
"36",36,3,38,10.59,11.65,5,0,0.939,222.481,225.184
"37",37,3,39,25.81,34.84,2,1,1.739,227.536,231.04
"38",38,3,40,21.01,26.27,2,1,1.215,234.644,237.63
"39",39,3,41,16.69,17.53,4,0,1.226,239.283,242.268
"40",40,3,42,23.91,27.5,5,0,0.71,245.406,247.891
"41",41,3,43,17.67,26.51,2,1,0.912,251.796,254.483
"42",42,3,44,11.45,12.59,2,0,2.749,255.734,260.255
"43",43,3,45,10.46,15.69,5,1,1.464,262.124,265.361
"44",44,3,46,28.07,29.47,2,0,0.686,268.214,270.667
"45",45,3,47,22.62,23.75,6,0,1.237,272.135,275.138
"46",46,3,48,13.01,13.66,1,0,1.496,277.524,280.795
"47",47,3,49,24.16,36.24,6,1,0.968,282.38,285.117
"48",48,3,51,22.73,28.42,1,1,1.356,295.361,298.481
"49",49,3,52,24.94,37.41,1,1,0.69,300.483,302.935
