ID	Environment	AUC	Difference	Mean (from km_ud/ht_mean)	
102	UD	19.61	1.16		
103	UD	18.06	4.26		
104	UD	12.7	3.28		
105	UD	7.63	4.22		
106	UD	7.89	0.14		
107	UD	10.48	3.25	14.27269231	UD
109	UD	19.61	1.16		
110	UD	12.27	3.59	11.42538462	HT
111	UD	11.07	3.69		
112	UD	19.61	1.16		
113	UD	12.6	5.33		
114	UD	14.85	7.91		
116	UD	14.51	1.66		
117	UD	12.3	4.42		
118	UD	16.13	1.76		
119	UD	14.23	5.3		
121	UD	13.18	7.91		
122	UD	11.76	1.63		
123	UD	10.34	3.94		
124	UD	19.61	1.16		
125	UD	19.61	1.16		
126	UD	16.34	0.63		
127	UD	16.85	-1.6		
129	UD	19.61	1.16		
130	UD	8.95	2.85		
131	UD	11.29	2.9		
102	HT	18.45			
103	HT	13.8			
104	HT	9.42			
105	HT	3.41			
106	HT	7.75			
107	HT	7.23			
109	HT	18.45			
110	HT	8.68			
111	HT	7.38			
112	HT	18.45			
113	HT	7.27			
114	HT	6.94			
116	HT	12.85			
117	HT	7.88			
118	HT	14.37			
119	HT	8.93			
121	HT	5.27			
122	HT	10.13			
123	HT	6.4			
124	HT	18.45			
125	HT	18.45			
126	HT	15.71			
127	HT	18.45			
129	HT	18.45			
130	HT	6.1			
131	HT	8.39			
