ID,Environment,AUC,Difference
3,UD,16.7,2.7
4,UD,12.2,2.75
6,UD,18.63,0.62
7,UD,14.49,-0.78
8,UD,17.1,3.75
9,UD,18.37,0.33
10,UD,15.84,5.64
11,UD,19.56,0.76
12,UD,8.03,2.34
13,UD,18.5,1.58
14,UD,16.83,2.92
15,UD,19.22,1.65
16,UD,18.27,0.45
17,UD,9.05,4.4
18,UD,15.01,2.32
19,UD,16.28,3.02
20,UD,19.56,0.76
21,UD,11.15,3.89
22,UD,12.33,2.98
23,UD,16.85,1.82
24,UD,15.06,1.88
25,UD,15.8,4.93
27,UD,18.14,1.52
28,UD,19.25,4.24
29,UD,18.88,2.77
30,UD,18.84,0.04
31,UD,14.7,1.64
32,UD,12.77,-0.35
33,UD,17.32,5.02
34,UD,8.62,-2.45
35,UD,16.74,3.37
102,UD,19.56,0.76
103,UD,18.61,4.33
104,UD,15.62,2.45
105,UD,13.75,5.28
106,UD,11.47,1.69
107,UD,17.41,3.63
109,UD,19.56,0.76
110,UD,13.48,4.59
111,UD,16.98,4.8
112,UD,19.56,0.76
113,UD,16.38,6.1
114,UD,18.24,8.9
115,UD,15.68,5.12
116,UD,17.15,2.52
117,UD,14.59,4.81
118,UD,17.31,2.23
119,UD,16.75,6.25
121,UD,15.46,3.89
122,UD,14.64,2.82
123,UD,13.91,6.02
124,UD,19.56,0.76
125,UD,19.56,0.76
126,UD,17.52,1.52
127,UD,18.23,-0.57
129,UD,19.56,0.76
130,UD,16.35,4.04
131,UD,16.93,1.77
132,UD,14.78,3.17
133,UD,13.16,2.18
134,UD,9.48,-0.05
136,UD,16.65,1.54
137,UD,19.56,0.76
138,UD,15.69,2.11
3,HT,14,
4,HT,9.45,
6,HT,18.01,
7,HT,15.27,
8,HT,13.35,
9,HT,18.04,
10,HT,10.2,
11,HT,18.8,
12,HT,5.69,
13,HT,16.92,
14,HT,13.91,
15,HT,17.57,
16,HT,17.82,
17,HT,4.65,
18,HT,12.69,
19,HT,13.26,
20,HT,18.8,
21,HT,7.26,
22,HT,9.35,
23,HT,15.03,
24,HT,13.18,
25,HT,10.87,
27,HT,16.62,
28,HT,15.01,
29,HT,16.11,
30,HT,18.8,
31,HT,13.06,
32,HT,13.12,
33,HT,12.3,
34,HT,11.07,
35,HT,13.37,
102,HT,18.8,
103,HT,14.28,
104,HT,13.17,
105,HT,8.47,
106,HT,9.78,
107,HT,13.78,
109,HT,18.8,
110,HT,8.89,
111,HT,12.18,
112,HT,18.8,
113,HT,10.28,
114,HT,9.34,
115,HT,10.56,
116,HT,14.63,
117,HT,9.78,
118,HT,15.08,
119,HT,10.5,
121,HT,11.57,
122,HT,11.82,
123,HT,7.89,
124,HT,18.8,
125,HT,18.8,
126,HT,16,
127,HT,18.8,
129,HT,18.8,
130,HT,12.31,
131,HT,15.16,
132,HT,11.61,
133,HT,10.98,
134,HT,9.53,
136,HT,15.11,
137,HT,18.8,
138,HT,13.58,
