,ID,C_Environment,C_Condition,C_Cycle,C_Trial,C_QuestionNum,C_Question,C_Answer,C_AssignedWait,C_Response,C_QPresent,C_StartRT,C_WaitStart,C_WaitTime,C_TrialLength,C_CycleLength,C_Jitter,C_AverageWait,MC_Correct
1,138,2,2,1,1,811,"Where did the abbreviation ""INRI"" traditionally appear? ",On Christ's crucifix ,12.085,NA,0.091,NA,NA,NA,NA,611.644634,3.492850963,7.521028571,NA
2,138,2,2,1,2,739,What was the first song ever performed in outer space? ,Happy Birthday,37.873,S,14.708,4.56,0.523,0.907,6.501,611.644634,3.4444973,7.521028571,NA
3,138,2,2,1,3,352,What Blue Ridge peak in North Carolina is the highest point east of the Mississippi? ,Mount Mitchell,3.139,S,24.692,3.326,0.524,1.412,5.768,611.644634,1.751597182,7.521028571,NA
4,138,2,2,1,4,971,Who was the only U.S. president to have been married in the White House? ,Grover Cleveland ,1.408,W,32.243,3.856,0.528,1.41,9.801,611.644634,2.583964934,7.521028571,0
5,138,2,2,1,5,220,Songbird is a book about what jazz singer's remarkable posthumous career? ,Eva Cassidy ,15.652,S,44.677,3.742,0.524,1.17,5.951,611.644634,1.154367317,7.521028571,NA
6,138,2,2,1,6,108,Ida May Fuller was the first U.S. citizen to receive a check for what?,Social Security,4.318,W,51.811,3.816,0.535,4.324,12.685,611.644634,3.87854617,7.521028571,1
7,138,2,2,1,7,814,Where in the body would you find chyme secreted? ,The stomach ,31.938,S,68.412,5.215,0.536,29.801,36.07,611.644634,1.780181315,7.521028571,NA
8,138,2,2,1,8,734,What was the first English play to be written especially for children? ,Peter Pan ,1.52,W,106.332,3.287,0.53,1.525,9.35,611.644634,3.870123135,7.521028571,0
9,138,2,2,1,9,765,What were the first modern Olympic pole vaulters' poles made of? ,Bamboo ,17.889,S,119.599,3.323,0.527,0.537,4.901,611.644634,1.396522063,7.521028571,NA
10,138,2,2,1,10,473,What city's harbor is overlooked by Victoria Peak? ,Hong Kong ,43.923,S,125.949,2.014,0.519,0.264,3.301,611.644634,1.006983058,7.521028571,NA
11,138,2,2,1,11,428,What element must be burned out of pig iron to make steel? ,Carbon,2.544,W,130.283,3.232,0.535,2.545,10.318,611.644634,1.581031981,7.521028571,1
12,138,2,2,1,12,895,Which state has the zip code 12345?,New York,2.481,W,142.217,3.29,0.527,2.483,10.318,611.644634,3.43988637,7.521028571,1
13,138,2,2,1,13,882,Which of Henry VIII's wives is buried next to him?  ,Jane Seymour ,20.181,S,156.018,5.353,0.531,10.981,17.368,611.644634,1.976305771,7.521028571,NA
14,138,2,2,1,14,1005,"Young wines are said to have ""aroma."" What do older wines have instead?",Bouquet,0.684,S,175.403,4.728,0.523,0.285,6.051,611.644634,2.511211309,7.521028571,NA
15,138,2,2,1,15,847,Which cartoonist is famous for creating the popular image of Santa Claus? ,Thomas Nast ,64.062,S,184.037,8.926,0.524,53.06,63.021,611.644634,1.296833873,7.521028571,NA
16,138,2,2,1,16,72,"Each year, approximately 125 people die of what? ",Choking on food,6.339,W,248.391,4.34,0.527,6.34,15.218,611.644634,1.99305648,7.521028571,1
17,138,2,2,1,17,855,Which country did the Easter Bunny originate from? ,Germany,1.582,K,265.679,5.916,0.53,0.51,7.464,611.644634,1.325974575,7.521028571,0
18,138,2,2,1,18,941,Who outgrew a childhood chlorine allergy to become the biggest Olympic medal winner in Australian history? ,Ian Thorpe ,3.762,W,274.51,6.862,0.522,3.763,15.151,611.644634,1.671630206,7.521028571,0
19,138,2,2,1,19,985,"Whose doghouse apparently contains a basement, a pool table, an Andrew Wyeth painting, and a Jacuzzi?",Snoopy's,30.566,S,291.395,4.185,0.531,0.588,5.817,611.644634,2.189430508,7.521028571,NA
20,138,2,2,1,20,110,In 1568 the Catholic Church sentenced the entire population of which nation to death as heretics?,The Netherlands,13.164,W,299.462,6.606,0.528,13.165,24.302,611.644634,2.774465773,7.521028571,1
21,138,2,2,1,21,227,"The ""Mohorovicic discontinuity"" divides what two outer layers of the earth?",The crust and the mantle,30.21,S,326.564,3.785,0.532,0.452,5.284,611.644634,2.05514191,7.521028571,NA
22,138,2,2,1,22,966,Who was the only British Prime Minister to have been assassinated? ,Spencer Perceval ,0.065,W,333.931,3.394,0.523,0.066,8.001,611.644634,2.915490513,7.521028571,0
23,138,2,2,1,23,547,What is the surgical knife called an izmel used for? ,The circumcision at a bris ,10.942,S,344.915,3.729,0.521,0.711,5.467,611.644634,1.040948492,7.521028571,NA
24,138,2,2,1,24,931,Who is pictured on a US Purple Heart medal? ,George Washington,7.614,K,351.449,3.284,0.533,0.363,4.684,611.644634,2.306704585,7.521028571,0
25,138,2,2,1,25,406,What current branch of the U.S. military was a corps of only 50 soldiers when World War I broke out?,The U.S. Air Force,1.397,S,358.483,5.785,0.531,0.429,7.25,611.644634,3.850942843,7.521028571,NA
26,138,2,2,1,26,17,"A two-million gallon tank of what substance exploded in Boston in 1919, resulting in 21 deaths?",Molasses,6.395,W,369.617,4.508,0.526,6.396,15.434,611.644634,2.338981771,7.521028571,1
27,138,2,2,1,27,80,For what crime was Bruno Hauptmann executed in 1936?,Kidnapping and killing the Lindbergh baby,22.452,S,387.418,3.251,0.533,1.62,5.917,611.644634,2.557007554,7.521028571,NA
28,138,2,2,1,28,317,What album spent a record 741 weeks on Billboard's Top 200 Albums chart? ,Dark Side of the Moon,30.566,S,395.969,2.74,0.527,1.826,5.601,611.644634,2.374792708,7.521028571,NA
29,138,2,2,1,29,578,"What Latin American dictator was called ""Carepina""- ""Pineapple Face""- because of his acne scarred complextion?",Manuel Noriega ,0.122,W,404.019,5.122,0.529,0.123,9.784,611.644634,2.872107871,7.521028571,0
30,138,2,2,1,30,49,"Because his father was from Minorca, in Spain, what Civil War hero was the U.S. Navy's first Hispanic admiral?",David Farragut,16.832,S,416.737,3.716,0.535,1.153,5.917,611.644634,2.45223981,7.521028571,NA
31,138,2,2,1,31,944,Who provided the voice for cartoon character Inspector Gadget? ,Don Adams,4.868,W,425.137,5.084,0.534,4.87,14.501,611.644634,1.364494827,7.521028571,0
32,138,2,2,1,32,661,What slightly hallucinogenic spice did Malcolm X use to get high while in prison? ,Nutmeg,58.721,S,441.039,4.895,0.539,19.213,25.152,611.644634,1.49678782,7.521028571,NA
33,138,2,2,1,33,724,"What was originally sold in 1965 under the name ""Chemgrass""?  ",AstroTurf ,0.297,W,467.741,3.593,0.524,0.298,8.417,611.644634,1.528859455,7.521028571,0
34,138,2,2,1,34,745,What was the most expensive drawing ever sold?  ,Danseuse au Repos by Edgar Degas,5.149,S,477.725,3.097,0.52,0.24,4.367,611.644634,2.834983609,7.521028571,NA
35,138,2,2,1,35,130,"In 2005, Bhutan became the first country to entirely ban what?",Tobacco,19.377,W,484.959,2.503,0.53,19.378,26.419,611.644634,2.874916759,7.521028571,1
36,138,2,2,1,36,14,A conference on safety held at Columbia University's Teacher College in 1939 led to what change? ,School buses were painted yellow,48.012,S,514.277,4.545,0.522,33.782,39.353,611.644634,2.636202439,7.521028571,NA
37,138,2,2,1,37,231,The Admiral is which type of insect? ,Butterfly,24.821,S,556.297,2.861,0.523,0.245,4.134,611.644634,2.628683347,7.521028571,NA
38,138,2,2,1,38,67,"Deuteranopia, or Daltonism, is one of the most common varieties of what condition?",Color blindness,37.873,W,563.097,4.125,0.525,37.874,46.537,611.644634,1.993539608,7.521028571,0
39,138,1,2,2,39,285,"The world's first ""sister cities"" were what Spanish city and its midwestern namesake?",Toledo,14.74,S,0.021,5.231,0.519,3.6,9.868,604.4642951,2.628589201,4.634883721,NA
40,138,1,2,2,40,887,Which person has been awarded the most Oscars ever? ,Walt Disney,16.709,W,12.555,4.201,0.534,3.571,12.318,604.4642951,1.015165408,4.634883721,1
41,138,1,2,2,41,924,"Who had the last number one hit of the 1950s with his song ""Why""? ",Frankie Avalon ,8.713,S,25.923,5.345,0.522,0.238,6.618,604.4642951,2.228597796,4.634883721,NA
42,138,1,2,2,42,613,What owner-bartender of Chicago's Lone Star Saloon was famous for his drug-laced drinks? ,Mickey Finn,12.484,S,34.79,3.342,0.525,0.443,4.817,604.4642951,1.631379177,4.634883721,NA
