"","ID","trial","environment","mem","SizeZ"
"1",102,2,2,0,1.57121301729857
"2",102,3,2,0,0.833858563178812
"3",102,4,2,0,1.15163805643151
"4",102,5,2,0,0.949820021636368
"5",102,7,2,0,1.23445660435618
"6",102,9,2,1,1.27736878261015
"7",102,11,2,1,1.06196888353042
"8",102,12,2,0,0.855546471395603
"9",102,13,2,0,1.39271404974817
"10",102,14,2,1,0.903647153547843
"11",102,15,2,1,1.61013937002259
"12",102,16,2,1,0.812403025407201
"13",102,17,2,1,0.560479037581048
"14",102,18,2,1,0.857741081155636
"15",102,19,2,1,0.355373391302253
"16",102,20,2,1,0.78540502220241
"17",102,21,2,1,1.45071603200361
"18",102,22,2,1,1.90712601158808
"19",102,23,1,0,0.207680457608464
"20",102,24,1,1,0.773950019886319
"21",102,25,1,1,0.869798525366637
"22",102,28,1,1,0.715048415189606
"23",102,29,1,1,0.389394145739148
"24",102,32,1,1,0.1402327843168
"25",102,33,1,1,-0.51046470637642
"26",102,34,1,0,0.871046440720381
"27",102,35,1,0,-0.117044330061275
"28",102,36,1,1,0.0686540808886058
"29",102,37,1,1,0.0906259974272833
"30",102,38,1,1,0.402845812621229
"31",102,40,1,0,-0.414917421843558
"32",102,42,1,0,-0.251345841062475
"33",102,43,1,0,-0.178751592725716
"34",102,44,1,1,-0.0709747377261629
"35",102,45,1,1,0.0177907723325602
"36",102,46,1,1,-0.0216605654713167
"37",102,47,1,1,-0.406285290120763
"38",102,48,1,1,-0.488036655260167
"39",102,52,2,1,-0.213435033247013
"40",102,53,2,1,0.232311724797533
"41",102,54,2,1,0.221132124490545
"42",102,55,2,0,0.826437023955827
"43",102,56,2,0,0.159175278755355
"44",102,57,2,0,-0.0607418318254627
"45",102,58,2,1,0.10075562757457
"46",102,59,2,0,-0.423162269491052
"47",102,60,2,1,0.0764427939585247
"48",102,61,2,1,0.174382633445462
"49",102,62,2,1,0.573130317374176
"50",102,63,2,0,-0.0739783408879327
"51",102,64,2,1,-0.676015739097925
"52",102,65,2,0,-0.21924429437651
"53",102,66,2,1,-0.337572488849788
"54",102,67,2,1,-0.3783319861969
"55",102,68,2,1,-0.578893499325509
"56",102,69,2,1,-0.388715162281683
"57",102,70,2,0,0.0466563454115749
"58",102,71,2,1,0.815363597005049
"59",102,72,1,0,-0.507641835783123
"60",102,73,1,1,-1.15364888600882
"61",102,74,1,1,-0.632166575461198
"62",102,75,1,0,-0.601536708261373
"63",102,76,1,1,-0.540097969468508
"64",102,77,1,0,-0.190025862473333
"65",102,78,1,1,-0.874761320229018
"66",102,79,1,1,-0.710733604870359
"67",102,80,1,1,-1.05128540175068
"68",102,82,1,1,-1.4308410081701
"69",102,83,1,1,-1.08351769719454
"70",102,84,1,0,-1.1280537117879
"71",102,85,1,0,-1.01716137156038
"72",102,86,1,1,-0.92067833357942
"73",102,87,1,1,-1.10293188477011
"74",102,88,1,0,-1.29362195713497
"75",102,89,1,1,-0.621554991797983
"76",102,90,1,0,-1.39056233578338
"77",102,91,1,0,-0.916312598352298
"78",102,92,1,1,0.111246722858804
"79",102,93,1,1,-1.07744859261538
"80",102,94,1,1,-0.718100608613841
"81",102,95,1,1,-0.764488634521977
"82",102,96,1,1,-0.905597738935669
"83",102,97,1,0,-0.947803096830567
"84",102,98,1,1,-0.347920978456593
"85",103,1,1,1,2.31138091965844
"86",103,2,1,1,1.48864341570339
"87",103,3,1,0,1.90760563106713
"88",103,4,1,1,1.27113533633152
"89",103,5,1,1,1.08344508898447
"90",103,6,1,0,1.28680760392231
"91",103,7,1,0,1.31056574378784
"92",103,8,1,1,1.52445025918577
"93",103,9,1,NA,1.51942250527135
"94",103,10,1,0,1.28074319971626
"95",103,11,1,0,0.867430728441915
"96",103,12,1,1,1.36694067146559
"97",103,13,1,0,0.949057514814505
"98",103,14,1,0,0.929248070150742
"99",103,15,1,1,1.12956660286861
"100",103,16,1,1,0.432650172037197
"101",103,17,1,1,0.793192431420604
"102",103,18,1,0,1.07979325272985
"103",103,19,1,1,0.532093207285546
"104",103,20,1,1,1.11029433153778
"105",103,21,1,0,1.07780005694185
"106",103,22,1,0,0.747886101629433
"107",103,23,1,1,0.571726232753413
"108",103,24,1,0,0.774994506755653
"109",103,25,1,1,-0.0118324886878565
"110",103,26,1,1,0.55316076843961
"111",103,27,1,1,0.683670328109508
"112",103,28,1,0,0.248498671822037
"113",103,29,1,0,0.720956754280858
"114",103,30,1,1,0.573988015207886
"115",103,31,2,0,0.389299341659789
"116",103,32,2,1,0.502313071634979
"117",103,33,2,0,0.432824517768062
"118",103,34,2,0,0.38778206259658
"119",103,35,2,0,0.606929934247936
"120",103,36,2,0,0.135254532664501
"121",103,37,2,1,0.369480472902465
"122",103,38,2,0,0.0474497718532485
"123",103,39,2,1,-0.432354391535832
"124",103,40,2,NA,-0.0343607843437681
"125",103,41,2,1,1.03239006212151
"126",103,42,2,1,0.121485450863013
"127",103,43,2,1,0.198626368700897
"128",103,44,2,0,0.0201340366687015
"129",103,45,2,NA,-0.0156492465797805
"130",103,46,2,0,0.713436327619734
"131",103,47,2,1,0.123389117762194
"132",103,48,2,0,0.684320590565169
"133",103,49,2,0,0.0917147393060058
"134",103,51,2,0,0.590574419874025
"135",103,52,2,1,-0.257721225816581
"136",103,53,2,1,-0.351671118241941
"137",103,54,2,1,1.77084417584031
"138",103,55,2,0,0.747527986074141
"139",103,57,1,1,0.478964879839321
"140",103,58,1,1,0.198880819227026
"141",103,59,1,0,-0.552784883142982
"142",103,60,1,1,-0.106681278325556
"143",103,61,1,1,-0.296779381577269
"144",103,62,1,NA,-0.345440688675909
"145",103,63,1,0,0.0422193999272786
"146",103,64,1,1,-0.605861378074626
"147",103,65,1,0,-0.168559876642526
"148",103,66,1,1,-0.471450243670761
"149",103,67,1,1,-0.800652679919371
"150",103,68,1,0,-0.486147117578058
"151",103,69,1,1,-0.593426286621802
"152",103,70,1,1,-1.18832219261612
"153",103,71,1,1,-0.430573237852934
"154",103,72,1,0,-0.446283201817964
"155",103,74,1,1,-1.00416598035418
"156",103,75,1,1,-1.29529268250327
"157",103,76,1,0,-1.68105150032316
"158",103,77,1,1,-0.699956240227501
"159",103,78,1,1,-0.161402277583473
"160",103,79,1,0,-0.880248574129715
"161",103,80,1,1,-1.34013962782587
"162",103,81,1,NA,-1.2362389963235
"163",103,82,1,1,-0.397753832029168
"164",103,83,1,NA,-1.09208507551373
"165",103,84,1,1,-1.60239801546884
"166",103,85,1,1,-1.21102012195612
"167",103,86,1,NA,-0.756858917144629
"168",103,87,1,1,-0.483871198983244
"169",103,88,1,0,-0.782902399698534
"170",103,89,1,0,-0.867290445484295
"171",103,90,2,1,-0.36855327813256
"172",103,91,2,1,-1.03280580068395
"173",103,93,2,0,-1.66422478127123
"174",103,94,2,0,-0.317403651500777
"175",103,95,2,1,-0.716933744776392
"176",103,96,2,1,-0.414938666636386
"177",103,97,2,0,-0.548760795192732
"178",103,98,2,1,-1.09066973514423
"179",103,99,2,1,-1.8854365294123
"180",103,100,2,NA,-0.342632308794938
"181",103,102,2,NA,-1.69079130101774
"182",103,103,2,0,-1.46805756176668
"183",103,104,2,1,-1.73433532531313
"184",103,105,2,0,-0.764134317373185
"185",103,107,2,1,-0.0229764793229184
"186",103,108,2,1,-1.08219276298673
"187",103,109,2,NA,-1.58038333291197
"188",104,1,2,1,0.415856102003828
"189",104,2,2,1,0.432922819597998
"190",104,3,2,0,0.784705180343305
"191",104,4,2,0,0.9905093531173
"192",104,5,2,NA,2.40107150989615
"193",104,6,2,0,2.4420914370426
"194",104,8,2,0,0.358764404898795
"195",104,9,2,0,-0.0713847162641637
"196",104,10,2,NA,0.775967924775463
"197",104,11,2,0,0.57493158810206
"198",104,12,2,1,0.237159892340396
"199",104,13,2,0,0.744228307214232
"200",104,14,2,1,1.09518197850126
"201",104,15,2,1,2.23339011692268
"202",104,16,2,1,1.03003031965197
"203",104,17,2,NA,0.913437503116902
"204",104,18,2,NA,0.13354117309776
"205",104,19,2,1,0.439510286953907
"206",104,20,2,1,0.984290563487952
"207",104,21,2,NA,0.927415787506269
"208",104,22,2,NA,0.677870722886481
"209",104,23,2,1,1.4577336879795
"210",104,24,2,1,1.67424981524047
"211",104,25,2,NA,1.18994397082113
"212",104,26,2,NA,0.850517371149694
"213",104,27,2,NA,0.918159413999389
"214",104,28,2,1,0.164474598737193
"215",104,29,2,1,0.403789782698996
"216",104,30,2,NA,0.719732043644581
"217",104,31,2,1,0.0467258512772083
"218",104,32,2,NA,0.729912269280643
"219",104,34,1,NA,-0.146805410605151
"220",104,35,1,NA,0.944562840068194
"221",104,37,1,0,-1.10418413815703
"222",104,38,1,1,-0.318476912136946
"223",104,39,1,NA,0.00907552972270619
"224",104,40,1,1,0.466592097194864
"225",104,41,1,0,-0.545557087657698
"226",104,42,1,1,-0.334816151967556
"227",104,43,1,1,-0.164296256800076
"228",104,44,1,1,-0.290681013293721
"229",104,45,1,1,-0.688517625831455
"230",104,46,1,1,0.919676852279206
"231",104,47,1,NA,1.16774230659907
"232",104,48,1,1,-0.114336832964005
"233",104,49,1,0,-0.26375540993451
"234",104,50,1,0,-0.0317041922067863
"235",104,51,1,NA,1.29392176261956
"236",104,52,1,1,-0.788623921761693
"237",104,53,1,0,-0.401998500279543
"238",104,55,1,1,-1.05604117720298
"239",104,56,1,1,-1.00022176377455
"240",104,57,1,1,0.27597953398111
"241",104,58,1,NA,-0.74110578833462
"242",104,59,1,NA,-0.471064257280008
"243",104,60,1,1,-0.743399797969401
"244",104,61,1,NA,-0.687830315551774
"245",104,62,1,1,-1.3645542317047
"246",104,63,1,0,0.234084848296886
"247",104,64,1,1,-0.108833887672788
"248",104,65,1,1,-0.405689445742508
"249",104,66,1,1,0.0129888907328674
"250",104,67,1,NA,-0.596971467020888
"251",104,68,1,NA,0.0350862070602641
"252",104,69,1,1,-0.318328745907172
"253",104,70,1,NA,-0.317160311276517
"254",104,71,1,NA,-0.368021271972949
"255",104,72,2,NA,-0.314283799263539
"256",104,73,2,NA,-0.324992970632628
"257",104,74,2,NA,0.572589624093801
"258",104,75,2,1,0.126440454558973
"259",104,76,2,1,0.617544113253169
"260",104,77,2,NA,-0.0178232953139207
"261",104,78,2,NA,0.0285433702419971
"262",104,79,2,0,0.326032681946229
"263",104,80,2,0,0.526968279581456
"264",104,81,2,NA,-0.0662157941368967
"265",104,82,2,1,0.19174832029001
"266",104,83,2,NA,1.05143958855867
"267",104,84,2,NA,1.24644825973013
"268",104,85,2,NA,-0.586661812825665
"269",104,86,2,NA,-0.835768673162291
"270",104,87,2,NA,-0.152968126537397
"271",104,88,2,1,-0.440679787253568
"272",104,89,2,1,-0.209341260671256
"273",104,90,2,NA,0.467627525668151
"274",104,91,2,1,0.0996710580815065
"275",104,92,2,0,-0.354584099041474
"276",104,93,2,NA,0.131238237355451
"277",104,94,2,1,0.689338647510612
"278",104,95,2,0,0.0379604136843868
"279",104,96,2,1,0.698844952028285
"280",104,97,2,1,-0.282187821980514
"281",104,98,2,1,-0.452109667943596
"282",104,99,2,1,0.179483848546082
"283",104,100,2,1,0.589196647150261
"284",104,101,2,1,-0.563949534473017
"285",104,102,2,NA,-0.69333326084299
"286",104,103,1,NA,0.0196485040900148
"287",104,104,1,1,-0.814085643486258
"288",104,105,1,0,-0.645868684061087
"289",104,106,1,1,-0.984159233277322
"290",104,107,1,NA,-0.82301175101459
"291",104,108,1,NA,-0.22940774816549
"292",104,109,1,NA,0.259457308946168
"293",104,110,1,1,-0.916642155933023
"294",104,111,1,NA,-0.84671056650231
"295",104,112,1,1,-1.16154330513409
"296",104,113,1,1,-1.027615987779
"297",104,114,1,NA,-0.863741579666366
"298",104,115,1,1,-0.190632737062418
"299",104,116,1,1,-0.936810695893288
"300",104,117,1,NA,-0.667916169656066
"301",104,118,1,1,-0.549131993722795
"302",104,119,1,1,-0.0494893944441674
"303",104,120,1,NA,0.757752798661509
"304",104,121,1,NA,0.405961511808673
"305",104,122,1,1,-1.49915984388151
"306",104,123,1,1,-0.841127286243338
"307",104,125,1,1,-0.183000915125695
"308",104,126,1,1,-0.98344960772882
"309",104,127,1,1,-0.280518639872716
"310",104,128,1,1,0.59262427244114
"311",104,129,1,NA,-0.0518005236205145
"312",104,130,1,NA,-0.476982266571292
"313",104,131,1,NA,-0.599930471666529
"314",104,132,1,0,-1.25230396648216
"315",104,133,1,1,-0.787798256815322
"316",104,134,1,1,-1.69041517618773
"317",104,135,1,1,-0.747213398756862
"318",104,136,1,NA,-0.559151549423347
"319",104,137,1,NA,-0.307555528019756
"320",104,138,1,1,-0.646989277259709
"321",104,139,1,1,-0.275104955656783
"322",104,140,1,1,-1.11688250581081
"323",106,1,2,0,2.0394774145599
"324",106,3,2,NA,2.1142761075972
"325",106,4,2,NA,2.80892839916805
"326",106,5,2,1,1.82894422013841
"327",106,6,2,1,1.80176172596844
"328",106,7,2,0,1.2533254006254
"329",106,8,2,NA,2.55084457357708
"330",106,9,2,0,2.25500780423972
"331",106,10,2,0,1.92530531895767
"332",106,11,2,1,1.22591341951293
"333",106,12,2,1,2.27146529640258
"334",106,13,2,NA,1.40180813583638
"335",106,14,2,1,1.67191895057767
"336",106,15,2,1,1.29933050748818
"337",106,16,2,1,0.515702474873684
"338",106,17,2,NA,1.81654724183587
"339",106,18,2,0,0.563539168917156
"340",106,19,2,1,0.243180080580151
"341",106,20,2,NA,0.559155499974516
"342",106,21,2,1,0.286431344132806
"343",106,22,2,1,-0.0126557096556174
"344",106,23,2,NA,1.4221081548143
"345",106,24,2,0,-0.369240951060277
"346",106,25,2,NA,0.576025131952497
"347",106,26,2,1,-0.0663181869470433
"348",106,27,2,NA,0.579055296275028
"349",106,28,2,1,0.189826708150065
"350",106,29,2,1,0.726793332269833
"351",106,30,1,NA,0.625406975255063
"352",106,31,1,1,-0.250647719259484
"353",106,32,1,NA,0.134628073365919
"354",106,33,1,NA,-0.0553074971135521
"355",106,35,1,NA,-0.0358338908491299
"356",106,36,1,NA,-0.347903348813834
"357",106,37,1,1,-0.082082534875385
"358",106,38,1,NA,-0.422711408665113
"359",106,39,1,1,-0.0461514364481011
"360",106,40,1,1,-0.0951632905984565
"361",106,41,1,NA,-0.426074094883933
"362",106,42,1,1,-0.547079281284576
"363",106,43,1,NA,-1.00504155039479
"364",106,44,1,1,-0.428607818065523
"365",106,45,1,1,-0.0294035730518592
"366",106,46,1,1,-0.000656820947236066
"367",106,48,1,NA,-0.189889880378207
"368",106,49,1,NA,0.339695731830081
"369",106,50,1,1,-0.596315938970452
"370",106,51,1,NA,-0.750268893545749
"371",106,52,1,0,-0.180213961536866
"372",106,53,1,1,-0.809345389317615
"373",106,54,1,NA,1.07776320619824
"374",106,56,1,0,-0.661686933736879
"375",106,57,1,0,-0.870313981513442
"376",106,58,1,0,-0.730256695477476
"377",106,59,1,NA,0.121130494420737
"378",106,60,1,1,0.0595483759092206
"379",106,61,1,1,-0.503776500255031
"380",106,62,1,1,-0.385717176851098
"381",106,63,1,1,0.178535013897174
"382",106,64,1,NA,0.165126419684802
"383",106,65,1,1,-0.298469988034379
"384",106,67,1,NA,-0.324505047491792
"385",106,68,1,NA,0.0518254377827097
"386",106,69,1,NA,-0.517442681851853
"387",106,70,1,1,-0.303617052316389
"388",106,71,1,1,0.202649876488686
"389",106,72,1,0,0.373107157296745
"390",106,73,2,0,0.0801319496302728
"391",106,74,2,0,0.202036350172996
